TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/11/28
TIME	17:02:58
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	800.0000
LASTX	300.0000
NPOINTS	501
FIRSTY	0.10999
MAXY	0.70780
MINY	0.07121
XYDATA
800.0000	10.999
799.0000	10.885
798.0000	10.834
797.0000	10.877
796.0000	10.793
795.0000	10.765
794.0000	10.73
793.0000	10.678
792.0000	10.738
791.0000	10.727
790.0000	10.695
789.0000	10.758
788.0000	10.806
787.0000	10.766
786.0000	10.809
785.0000	10.827
784.0000	10.842
783.0000	10.774
782.0000	10.818
781.0000	10.826
780.0000	10.788
779.0000	10.752
778.0000	10.72
777.0000	10.75
776.0000	10.703
775.0000	10.676
774.0000	10.664
773.0000	10.683
772.0000	10.752
771.0000	10.741
770.0000	10.794
769.0000	10.752
768.0000	10.696
767.0000	10.672
766.0000	10.67
765.0000	10.597
764.0000	10.562
763.0000	10.544
762.0000	10.576
761.0000	10.596
760.0000	10.559
759.0000	10.529
758.0000	10.483
757.0000	10.482
756.0000	10.451
755.0000	10.442
754.0000	10.415
753.0000	10.358
752.0000	10.367
751.0000	10.446
750.0000	10.419
749.0000	10.49
748.0000	10.492
747.0000	10.503
746.0000	10.625
745.0000	10.631
744.0000	10.603
743.0000	10.555
742.0000	10.569
741.0000	10.553
740.0000	10.373
739.0000	10.385
738.0000	10.345
737.0000	10.346
736.0000	10.351
735.0000	10.345
734.0000	10.303
733.0000	10.31
732.0000	10.322
731.0000	10.325
730.0000	10.312
729.0000	10.341
728.0000	10.368
727.0000	10.337
726.0000	10.328
725.0000	10.334
724.0000	10.284
723.0000	10.264
722.0000	10.235
721.0000	10.204
720.0000	10.213
719.0000	10.2
718.0000	10.241
717.0000	10.234
716.0000	10.25
715.0000	10.263
714.0000	10.261
713.0000	10.239
712.0000	10.202
711.0000	10.207
710.0000	10.207
709.0000	10.19
708.0000	10.119
707.0000	10.12
706.0000	10.102
705.0000	10.107
704.0000	10.084
703.0000	10.099
702.0000	10.108
701.0000	10.087
700.0000	10.056
699.0000	10.063
698.0000	10.015
697.0000	10.033
696.0000	10.031
695.0000	10.042
694.0000	10.065
693.0000	10.082
692.0000	10.074
691.0000	10.08
690.0000	10.055
689.0000	10.064
688.0000	10.043
687.0000	10.02
686.0000	10.017
685.0000	9.977
684.0000	9.914
683.0000	9.876
682.0000	9.849
681.0000	9.82
680.0000	9.794
679.0000	9.82
678.0000	9.825
677.0000	9.812
676.0000	9.785
675.0000	9.781
674.0000	9.773
673.0000	9.737
672.0000	9.711
671.0000	9.696
670.0000	9.71
669.0000	9.662
668.0000	9.657
667.0000	9.651
666.0000	9.648
665.0000	9.667
664.0000	9.651
663.0000	9.638
662.0000	9.62
661.0000	9.588
660.0000	9.566
659.0000	9.529
658.0000	9.537
657.0000	9.489
656.0000	9.488
655.0000	9.475
654.0000	9.469
653.0000	9.489
652.0000	9.459
651.0000	9.439
650.0000	9.425
649.0000	9.422
648.0000	9.41
647.0000	9.393
646.0000	9.356
645.0000	9.386
644.0000	9.345
643.0000	9.315
642.0000	9.309
641.0000	9.269
640.0000	9.264
639.0000	9.221
638.0000	9.199
637.0000	9.181
636.0000	9.194
635.0000	9.154
634.0000	9.146
633.0000	9.108
632.0000	9.081
631.0000	9.054
630.0000	9.012
629.0000	8.984
628.0000	8.968
627.0000	8.952
626.0000	8.932
625.0000	8.918
624.0000	8.927
623.0000	8.918
622.0000	8.895
621.0000	8.868
620.0000	8.849
619.0000	8.841
618.0000	8.788
617.0000	8.758
616.0000	8.73
615.0000	8.707
614.0000	8.678
613.0000	8.629
612.0000	8.587
611.0000	8.552
610.0000	8.5
609.0000	8.472
608.0000	8.443
607.0000	8.403
606.0000	8.399
605.0000	8.379
604.0000	8.351
603.0000	8.347
602.0000	8.319
601.0000	8.298
600.0000	8.282
599.0000	8.267
598.0000	8.263
597.0000	8.24
596.0000	8.23
595.0000	8.224
594.0000	8.198
593.0000	8.177
592.0000	8.163
